"x","y","pch","col","bg","cex","x.orig","y.orig"
1.05472202674173,66.316566428136,1,"black",NA,0.6,NA,66.11
1.07661083743842,66.316566428136,1,"black",NA,0.6,NA,66.04
1.09849964813512,66.316566428136,1,"black",NA,0.6,NA,65.92
1.12038845883181,66.316566428136,1,"black",NA,0.6,NA,65.86
1.1422772695285,66.316566428136,1,"black",NA,0.6,NA,65.82
1.16416608022519,66.316566428136,1,"black",NA,0.6,NA,65.79
0.813945109078114,65.1959254077374,1,"black",NA,0.6,NA,65.68
0.835833919774806,65.1959254077374,1,"black",NA,0.6,NA,65.64
0.857722730471499,65.1959254077374,1,"black",NA,0.6,NA,65.52
0.879611541168191,65.1959254077374,1,"black",NA,0.6,NA,65.46
0.901500351864884,65.1959254077374,1,"black",NA,0.6,NA,65.44
0.923389162561576,65.1959254077374,1,"black",NA,0.6,NA,65.38
0.945277973258269,65.1959254077374,1,"black",NA,0.6,NA,65.32
0.967166783954961,65.1959254077374,1,"black",NA,0.6,NA,65.28
0.989055594651654,65.1959254077374,1,"black",NA,0.6,NA,65.27
1.01094440534835,65.1959254077374,1,"black",NA,0.6,NA,65.04
1.03283321604504,65.1959254077374,1,"black",NA,0.6,NA,64.95
1.05472202674173,65.1959254077374,1,"black",NA,0.6,NA,64.95
1.07661083743842,65.1959254077374,1,"black",NA,0.6,NA,64.95
1.09849964813512,65.1959254077374,1,"black",NA,0.6,NA,64.84
1.12038845883181,65.1959254077374,1,"black",NA,0.6,NA,64.83
1.1422772695285,65.1959254077374,1,"black",NA,0.6,NA,64.8
1.16416608022519,65.1959254077374,1,"black",NA,0.6,NA,64.79
1.18605489092189,65.1959254077374,1,"black",NA,0.6,NA,64.66
0.857722730471499,64.0752843873388,1,"black",NA,0.6,NA,64.57
0.879611541168191,64.0752843873388,1,"black",NA,0.6,NA,64.54
0.901500351864884,64.0752843873388,1,"black",NA,0.6,NA,64.49
0.923389162561576,64.0752843873388,1,"black",NA,0.6,NA,64.43
0.945277973258269,64.0752843873388,1,"black",NA,0.6,NA,64.13
0.967166783954961,64.0752843873388,1,"black",NA,0.6,NA,64.01
0.989055594651654,64.0752843873388,1,"black",NA,0.6,NA,63.96
1.01094440534835,64.0752843873388,1,"black",NA,0.6,NA,63.83
1.03283321604504,64.0752843873388,1,"black",NA,0.6,NA,63.83
1.05472202674173,64.0752843873388,1,"black",NA,0.6,NA,63.69
1.07661083743842,64.0752843873388,1,"black",NA,0.6,NA,63.68
1.09849964813512,64.0752843873388,1,"black",NA,0.6,NA,63.67
1.12038845883181,64.0752843873388,1,"black",NA,0.6,NA,63.65
1.1422772695285,64.0752843873388,1,"black",NA,0.6,NA,63.54
0.792056298381421,62.9546433669402,1,"black",NA,0.6,NA,63.51
0.813945109078114,62.9546433669402,1,"black",NA,0.6,NA,63.5
0.835833919774806,62.9546433669402,1,"black",NA,0.6,NA,63.25
0.857722730471499,62.9546433669402,1,"black",NA,0.6,NA,63.21
0.879611541168191,62.9546433669402,1,"black",NA,0.6,NA,63.17
0.901500351864884,62.9546433669402,1,"black",NA,0.6,NA,63.15
0.923389162561576,62.9546433669402,1,"black",NA,0.6,NA,63.14
0.945277973258269,62.9546433669402,1,"black",NA,0.6,NA,63.08
